fit_time,score_time,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0.12601232528686523,0.03242182731628418,0.94,0.9617117117117117,0.0,1.0,0.0,0.10526315789473684,0.0,0.1904761904761905,0.6666666666666666,0.9987616099071207
0.13777637481689453,0.0319669246673584,0.94,0.9594594594594594,0.0,1.0,0.0,0.05263157894736842,0.0,0.1,0.6453900709219857,0.9995046439628482
0.12792181968688965,0.030665874481201172,0.96,0.9594594594594594,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.5729166666666666,0.9994103773584906
0.13881540298461914,0.03378438949584961,0.96,0.9572072072072072,0.0,1.0,0.0,0.05,0.0,0.09523809523809523,0.75,0.9985849056603774
0.13673138618469238,0.03047943115234375,0.9591836734693877,0.9573033707865168,0.0,1.0,0.0,0.05,0.0,0.09523809523809523,0.5638297872340425,1.0
0.12369084358215332,0.030887842178344727,0.9591836734693877,0.9595505617977528,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.574468085106383,0.9995294117647059
0.12287759780883789,0.032170772552490234,0.9591836734693877,0.9573033707865168,0.0,1.0,0.0,0.05,0.0,0.09523809523809523,0.4893617021276596,0.9989411764705881
0.12588047981262207,0.030533790588378906,0.9591836734693877,0.9595505617977528,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.776595744680851,0.999764705882353
0.14550542831420898,0.032501935958862305,0.9591836734693877,0.9573033707865168,0.0,1.0,0.0,0.05,0.0,0.09523809523809523,0.9787234042553192,0.9990588235294118
0.13522839546203613,0.030934810638427734,0.9591836734693877,0.9595505617977528,0.0,1.0,0.0,0.1,0.0,0.18181818181818182,0.8829787234042553,0.9994117647058823
